Property Name,Property Cost,Property Type,Property Area,Property Locality
Shalimar One World Valencia County,₹ 3.42 Cr,4 BHKVilla,"(357.96 - 1,046.55 sq.m.)",ICICI BankHyatt RegencyIndusind BankHilton Garden InnPride Hospital & Trauma Centre
BBD Green City Sunbreeze 1,₹ 66.44 - 66.98 L,2 BHKApartment,(114.27 - 115.2 sq.m.),N/A
Vikas Vihar Officers Enclave,₹ 35 - 85.75 L,Land,(92.9 - 227.61 sq.m.),Shri Hanumaan mandirPrimary School KinaunaSignature ParkBakkas train StationAxis Bank ATM
Sahu Kalpana South Avenue,₹ 38.5 L,2 BHKVilla,(111.48 sq.m.),N/A
Shalimar One World Belvedere Court,₹ 1.13 Cr,2 BHKApartment,(87.64 sq.m.),Hotel MigrolinoRoccaHyatt RegencyS2sThe Flying Saucer Cafe
Paitrik Rama Green City,₹ 10.13 - 43.2 L,Land,(69.68 - 297.29 sq.m.),Outer ring roadSultanpur roadHCLAmity universityCancer Hospital
Vivaan Ixora,₹ 65.28 L,3 BHKApartment,(170.57 sq.m.),Earth SchoolNursing CollegeSardar Patel Ring RoadSatyamev HospitalSVP International Airport
Elenza Gradient,₹ 64 L,3 BHKApartment,(160.26 sq.m.),N/A
Z Luxuria,Price on Request,4 BHKApartment,(501.68 sq.m.),Ahmedabad International AirportPalladium MallRajpath ClubOxygen ParkZebar School
Swarnim Sentossa,₹ 1 - 1.1 Cr,3 BHKApartment,(190.64 - 209.03 sq.m.),KD HospitalSGVP Holistic HospitalNirma UniversitySabarmati Railway StationSVP International Airport
Swarnim Sun,₹ 65 L,3 BHKApartment,(167.23 sq.m.),Krishna Shalby HospitalGhuma BRTSApollo International SchoolSOBO CentreMICA
The Ripples,₹ 55 L,3 BHKApartment,(163.51 sq.m.),N/A
Verdana,Price on Request,4 BHKApartment,(489.13 sq.m.),Randesan Primary SchoolSchool of Petroleum ManagementShashvat HospitalSarthak MallGandhinagar Capital Railway Station
Arvind Aavishkaar,₹ 30 L,2 BHKApartment,(77.3 - 102.66 sq.m.),"Asarva StationNaroda fruit marketD-mart, Vijay EstateStar HospitalAmbedkar Colony, Krishna Nagar"
Arvind Highgrove,₹ 1.16 Cr,1 RKStudio Apartment,(5.8 sq.m.),Jay Ambe Ma TempleFortune Labels EnterpriseBahuchar Auto GarageIcici Bank ATMVishat Temple
Ratnam Aurum,₹ 71 L,3 BHKApartment,(171.41 sq.m.),Sardar Patel Ring RoadH3 World SchoolKhodiyar Railway StationSatyamev HospitalNirma University
Satvik Sthapana 84,₹ 45.5 - 46.55 L,2 BHKApartment,(108.7 - 111.2 sq.m.),Lifeline Multispeciality HospitalApollo International SchoolChandlodiya StationRanip Metro StationSarkhej - Gandhinagar Hwy
Forreste,Price on Request,1 RKStudio Apartment,(40.11 - 51.86 sq.m.),Alpha Collage of EngineeringMother Teresa World SchoolVadsar Air Force StationKalupur Railway StationSardar Vallabhbhai Patel Airport
Suryansh Serenity,₹ 36.25 - 38.75 L,2 BHKApartment,(121.24 - 129.6 sq.m.),VIP International SchoolSankalp Industrial ParkNarodagam MarketShalby hospitalCity Center
Unique Luxuria,₹ 1.3 Cr,3 BHKApartment,(234.12 sq.m.),Shayona International SchoolHetvi HospitalSilver Oak UniversityAgarwal MallChandlodiya Railway Station
Suryansh Sanidhya Shivalaya,₹ 33.98 L,2 BHKApartment,(100.34 sq.m.),NH 147Sarkhej Railway StationSarvajanik High SchoolGazala ArcadeAPMC Metro Station
Kopren Park View,₹ 50.75 L,2 BHKApartment,(121.24 sq.m.),"Alpha International SchoolOgnaj - Gota RdJay Yogeshwar HospitalManit Super MallNH147, Gujarat"
Blue Bell,₹ 65 L,2 BHKApartment,(131.27 sq.m.),Nest Public SchoolMarengo CIMS HospitalIndus UniversityGoraghumaAhmedabad International Airport T2
Aashray Aurum,₹ 90.5 L,3 BHKApartment,(84.73 sq.m.),Taj SkylineAnand Niketan SchoolShilaj CircleAmbli T JunctionDelhi Public School
Origin Park,₹ 96.57 L - 1.17 Cr,3 BHKApartment,(218.23 - 263.38 sq.m.),N/A
United Elenza,₹ 63 - 68 L,3 BHKApartment,(154.68 - 167.23 sq.m.),Narendra Modi StadiumApollo hospitalPVR Acropolis AhemdabadSABARMATI RAILWAY STATIONHB Kapadia New High
Satyam Skyline 2,₹ 1.38 Cr,3 BHKApartment,(177.63 sq.m.),Divyapath Science SchoolSt.Kabir SchoolTerf English Medium SchoolAhmedabad UniversityHimalaya Mall
The Crest,₹ 58 L,3 BHKApartment,(121.24 - 146.32 sq.m.),Ashapura Super MarketRangoli PreschoolBhoomi Cricket Coaching AcademyNirbhay HospitalH B Kapadia School
Rajyash Regius,₹ 1.55 - 2.02 Cr,4 BHKApartment,(274.99 - 357.21 sq.m.),Rajpath ClubZydus HospitalSG HighwayVMCA ClubKarnavati Club
Shubham Pleasure,₹ 28 - 30.2 L,2 BHKApartment,(117.06 - 126.26 sq.m.),Mewad Palace HotelModel School SanandKalhaar Blues & Greens Golf ClubSanand Super MallSanand - Nalsarovar Road
Satya Sankalp Sky,₹ 85 L,3 BHKApartment,(171.41 sq.m.),Shree Shiv Shakti Restaurant1944 The Hocco KitchenKatori KitchenHotel Sparsh InnKalupur Bank ATM
Merlin Rise,₹ 39 - 47.25 L,2 BHKApartment,(57.14 - 59.37 sq.m.),SRCM RdAliah UniversityDowntown MallSiksha Tirtha Metro stationTata Medical Centre
DTC Capital City,₹ 26 L,1 BHKApartment,(58.53 sq.m.),Rajarhat ApexDPS MegacityCity Center 2Eco Space Business ParkEco Park
Ganguly 4Sight Eminence,₹ 1.22 - 1.35 Cr,3 BHKApartment,(127.83 - 140.84 sq.m.),Lake View High SchoolPrafulla Chandra CollegeAmri HospitalBallygunge JunctionGariahat Shopping Complex
Ganguly 4Sight Desire,₹ 27.29 L,1 BHKApartment,(49.7 sq.m.),N/A
Merlin Serenia,₹ 64.12 L,2 BHKApartment,(68.01 sq.m.),Springfield International SchoolInstitute Of Technical Education CollegeBonhoogly HospitalForum Rangoli MallNSCBI Airport
DTC Sojon,₹ 45 - 49.09 L,2 BHKApartment,(81.75 - 89.19 sq.m.),Diamon Harbour Road (NH 12)Vivekananda Mission SchoolBharat Sevashram Sangha HospitalIndian Institute Of Management–CalcuttaAristro Club Hotels and Resorts
Ascon Era,₹ 59.35 - 70.4 L,2 BHKApartment,(84.82 - 100.61 sq.m.),City Center 24 Lane ExpresswayDerozio CollegeDPS NewtonCharnock Hospital
Chitrakut Heights Phase 2,₹ 54.36 - 54.59 L,2 BHKApartment,(86.4 - 86.77 sq.m.),Sunshine Public SchoolOhio HospitalDown Town MallBiswa Bangla SaraniPresidency University Newtown Campus
Merlin Lakescape,₹ 37 L,1 BHKApartment,(45.52 sq.m.),Patharghata K.G. SchoolUniversity of Engineering & ManagementDown Town MallOhio HospitalSiksha Tirtha Metro station
GPS Meena Aurum Phase 2,₹ 30.19 - 36.15 L,2 BHKApartment,(75.81 - 90.77 sq.m.),VIP RoadTata Cancer CentreDPS New TownMetro StationVIP Big Bazar
Loharuka Green Heights Phase 2,₹ 49 - 57.25 L,2 BHKApartment,(53.51 - 62.52 sq.m.),Rajarhat Main RdDuke World AcademyLotus HospitalSiksha Tirtha Metro stationJadavpur University Campus
Symphony Proxima,₹ 41.6 - 41.83 L,2 BHKApartment,(82.22 - 82.68 sq.m.),B.D.M. International SchoolIris Multispeciality HospitalJadavpur UniversityBaghajatin Railway StationNetaji Subhash Chandra Bose
Amantran,₹ 1.11 - 1.12 Cr,4 BHKVilla,(146.85 - 148.32 sq.m.),"Bharat Sevashram Sangha HospitalReliance Smart PointNh12, Diamond Park, JokaVivekananda Mission SchoolIndian Institute of Management"
Merlin Avana,₹ 57 - 64.19 L,2 BHKApartment,(58.25 - 63.92 sq.m.),Abasar BriddhabasTollygunge Golf ClubTollygunge Metro StationCalcutta Institute of EngineeringRSV Hospital
Tattvam,₹ 93.42 - 97.02 L,2 BHKApartment,(96.43 - 100.15 sq.m.),Girish Park Metro StationNSCB International AirportMumbai Kolkata Highway NH6East Calcutta National SchoolVictoria Institution (College)
Urban Vista Phase 1,₹ 47 - 66.81 L,2 BHKApartment,(74.32 - 100.99 sq.m.),Rajarhat Main RdShree Maa KG SchoolCity Centre Mall RajarhatAliah UniversitySiksha Tirtha Metro station
